MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,IncomeCategory,RoomsPerPerson,BedroomRatio,DistToSF,DistToLA,AgeCategory_encoded,Region_North,Region_South
8.0483125,36.0,6.266871165644171,1.2331323610361724,606.0,1.8588957055214723,34.02,-118.6,5,3.371287128712871,0.19677001943112687,540.8911299072862,33.026111100325,2.0,0,1
3.2672,32.0,5.204379562043796,1.070559610705596,1154.0,2.807785888077859,38.45,-121.83,2,1.8535528596187176,0.20570359981299668,91.07179644909534,585.1565234833863,2.0,1,0
3.0938,6.0,4.979679144385027,1.0385026737967915,2320.0,2.481283422459893,35.41,-118.9,2,2.0068965517241377,0.20854810996563575,409.6669357656637,162.45524878200828,0.0,0,0
2.5568,18.0,6.114035087719298,1.2331323610361724,356.0,3.1228070175438596,39.49,-121.21,2,1.9578651685393258,0.20168879362715017,217.72355003953265,659.7500530027047,1.0,1,0
1.9811,16.0,6.10472972972973,1.1689189189189189,587.0,1.983108108108108,34.19,-118.96,1,3.0783645655877345,0.19147758716104038,505.6663998310529,67.69443916495514,1.0,0,1
5.9845,40.0,7.317343173431734,1.099630996309963,853.0,3.1476014760147604,34.22,-118.18,3,2.324736225087925,0.1502773575390822,549.1456969141153,19.557905428354267,2.0,0,1
4.4375,43.0,5.710344827586207,1.0413793103448277,446.0,3.075862068965517,37.3,-121.91,3,1.8565022421524664,0.1823671497584541,69.32427254046694,489.90173000161116,2.0,0,0
4.475,47.0,5.628571428571429,1.0952380952380951,1083.0,3.4380952380952383,37.72,-122.45,3,1.6371191135734071,0.19458544839255495,6.671188832105522,556.5790788809707,2.0,0,0
4.3,32.0,5.740112994350283,1.073446327683616,729.0,4.11864406779661,33.92,-118.11,3,1.3936899862825791,0.18700787401574803,578.302150398729,19.18454628996781,2.0,0,1
2.0903,34.0,7.612359550561798,1.2331323610361724,434.0,2.438202247191011,41.79,-120.08,2,3.122119815668203,0.16199081938334958,489.1159601495708,875.2874296732806,2.0,1,0
3.2125,26.0,4.352,1.0026666666666666,598.0,1.594666666666667,33.63,-117.9,2,2.729096989966555,0.23039215686274506,615.4201253962566,56.67083428910564,1.0,0,1
5.1762,16.0,6.371389270976616,1.046767537826685,3038.0,4.178817056396149,34.01,-117.86,3,1.5246872942725476,0.16429188255613125,586.3091024245876,35.66832750757787,1.0,0,1
5.5224,23.0,5.3669950738916254,1.041871921182266,1338.0,3.2955665024630543,34.19,-118.87,3,1.6285500747384154,0.19412574575493347,510.6859031850441,59.654210030640286,1.0,0,1
2.9524,31.0,3.933793103448276,1.0206896551724138,3100.0,4.275862068965517,34.06,-118.1,2,0.92,0.2594670406732118,567.2500949245556,13.266577064963661,2.0,0,1
4.4853,29.0,7.060931899641577,1.060931899641577,935.0,3.3512544802867383,37.99,-121.83,3,2.106951871657754,0.15025380710659897,56.989418675281655,543.7220294578483,1.0,0,0
2.5025,38.0,4.708971553610503,0.986870897155361,1320.0,2.888402625820569,37.79,-121.22,2,1.6303030303030304,0.2095724907063197,105.41843957770541,494.4720083595589,2.0,0,0
6.4949,32.0,5.662962962962963,1.101851851851852,1267.0,2.346296296296296,37.42,-122.11,4,2.4135753749013418,0.19457161543492482,47.96207553360833,511.7711339052649,2.0,0,0
